iter	RMSE
0	0.2223462141
1	0.2132980403
2	0.2048305926
3	0.196721607
4	0.189108758
5	0.1818669412
6	0.1751838854
7	0.1689207684
8	0.1630187401
9	0.1575613613
10	0.1524126971
11	0.1475927113
12	0.1430072296
13	0.1387669407
14	0.1348528821
15	0.1311612238
16	0.1277621206
17	0.1247790539
18	0.1217582726
19	0.1189182946
20	0.1162370868
21	0.1139563908
22	0.1118281453
23	0.1098715516
24	0.1080303466
25	0.1064239457
26	0.1048395855
27	0.1034560466
28	0.1021324623
29	0.1008341682
30	0.0997000996
31	0.09861363049
32	0.09758489236
33	0.09669077467
34	0.09587518578
35	0.09507725371
36	0.09442025607
37	0.0937395151
38	0.09324882617
39	0.09277708488
40	0.09224452262
41	0.09185435686
42	0.09147695358
43	0.09109146322
44	0.09066572874
45	0.09032533713
46	0.08999113449
47	0.08963601874
48	0.0893399984
49	0.08915822005
50	0.08897669548
51	0.08874802479
52	0.08856667976
53	0.08841653774
54	0.088212094
55	0.08804773745
56	0.08789765924
57	0.08774110979
58	0.08761201309
59	0.08750498686
60	0.08735759611
61	0.0872454088
62	0.08710693945
63	0.08699258711
64	0.08691197802
65	0.08681813868
66	0.0867523471
67	0.0866835932
68	0.08659527959
69	0.08651084152
70	0.08643853966
71	0.08638437662
72	0.08633050189
73	0.08626154374
74	0.08619070503
75	0.08614529269
76	0.08608798044
77	0.08604728369
78	0.08598853117
79	0.08593894345
80	0.0859024237
81	0.08585599271
82	0.08581402028
83	0.08578362354
84	0.08572976366
85	0.08570962627
86	0.08566696682
87	0.08561203303
88	0.0855589456
89	0.08550174943
90	0.08547997277
91	0.08545518291
92	0.08538504018
93	0.08534424197
94	0.08531708217
95	0.08526065908
96	0.08521027461
97	0.08515297969
98	0.08509598488
99	0.0850729575
100	0.08503297362
101	0.0850208651
102	0.08499251095
103	0.08495696538
104	0.08492212205
105	0.08489558562
106	0.0848722209
107	0.08483310285
108	0.08478366156
109	0.08474442708
110	0.08469020773
111	0.08464499847
112	0.08460082017
113	0.08455994956
114	0.08452697611
115	0.08449241014
116	0.08445699184
117	0.08442246983
118	0.08439474946
119	0.08436178578
120	0.0843426225
121	0.08428909959
122	0.08426550274
123	0.08422650822
124	0.08419102711
125	0.08417719968
126	0.08414499642
127	0.08410719591
128	0.08405971211
129	0.08401789064
130	0.08398444916
131	0.08393516692
132	0.08391178794
133	0.08389020487
134	0.08384838892
135	0.08382358334
136	0.0837990201
137	0.08378369532
138	0.08374899985
139	0.0837259322
140	0.08370513861
141	0.08367693448
142	0.08364553288
143	0.08362095439
144	0.08358732785
145	0.08354923639
146	0.08352476469
147	0.08349427776
148	0.08348511939
149	0.08343181123
150	0.08340331804
151	0.08337129341
152	0.08333410009
153	0.08330731475
154	0.08327653529
155	0.08325613162
156	0.08321886123
157	0.08320157111
158	0.08317717679
159	0.08315125898
160	0.08312617246
161	0.08312340131
162	0.08310203486
163	0.0830780254
164	0.08306770719
165	0.083044013
166	0.08301534044
167	0.08298562533
168	0.08296358621
169	0.08292600131
170	0.08290527093
171	0.08287401584
172	0.0828537568
173	0.08282529401
174	0.08279188933
175	0.08277017581
176	0.08273248562
177	0.08270352258
178	0.08266697961
179	0.08263999604
180	0.08260957511
181	0.0825668256
182	0.08256428815
183	0.08251844306
184	0.08248519373
185	0.08246361764
186	0.08244133181
187	0.08241910407
188	0.08239499582
189	0.08236603719
190	0.08234561233
191	0.08231419376
192	0.08228946851
193	0.08226207722
194	0.08223842918
195	0.08221203809
196	0.08219075474
197	0.08217681886
198	0.08215621118
199	0.08213062129
200	0.08210778608
201	0.08208859922
202	0.08206827581
203	0.08204022704
204	0.08202389336
205	0.08199673723
206	0.08197338546
207	0.08195567427
208	0.08192878191
209	0.0819015969
210	0.08188117004
211	0.08184916591
212	0.08183046486
213	0.08180924066
214	0.08180037038
215	0.0817874633
216	0.08177643318
217	0.08175575446
218	0.08174020297
219	0.08172017725
220	0.08168754096
221	0.08166713117
222	0.08165595923
223	0.08163971639
224	0.08160306597
225	0.08158165162
226	0.08154896012
227	0.08153868484
228	0.0815203502
229	0.08150450437
230	0.08147616569
231	0.08145487255
232	0.08141962699
233	0.08140269114
234	0.08139528526
235	0.08137365072
236	0.08134835243
237	0.08133684479
238	0.08131638044
239	0.08128682708
240	0.08127586608
241	0.08125580001
242	0.08123833517
243	0.08121074895
244	0.08118668878
245	0.08117675739
246	0.08117002384
247	0.08114535627
248	0.0811275412
249	0.08109923333
